sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_sents,target_sents,source_text,target_text,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
1,one-to-many,dn_0,isk_0 isk_1 isk_3,"Ippolita, quando vide contro il parapetto un gruppo di uomini chini a guardare nella strada sottoposta, esclamò soffermandosi:",羣集は胸壁に凭れて眼の下の往來を瞰込んでゐる。 イッポリイタは變に思つて佇立つた。 と聲が突走つた。,Ippolita,イッポリイタ,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,one-to-many,dn_0,isk_0 isk_1 isk_3,"Ippolita, quando vide contro il parapetto un gruppo di uomini chini a guardare nella strada sottoposta, esclamò soffermandosi:",羣集は胸壁に凭れて眼の下の往來を瞰込んでゐる。 イッポリイタは變に思つて佇立つた。 と聲が突走つた。,vide,思つて,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
1,one-to-many,dn_0,isk_0 isk_1 isk_3,"Ippolita, quando vide contro il parapetto un gruppo di uomini chini a guardare nella strada sottoposta, esclamò soffermandosi:",羣集は胸壁に凭れて眼の下の往來を瞰込んでゐる。 イッポリイタは變に思つて佇立つた。 と聲が突走つた。,un gruppo di uomini,羣集,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
1,one-to-many,dn_0,isk_0 isk_1 isk_3,"Ippolita, quando vide contro il parapetto un gruppo di uomini chini a guardare nella strada sottoposta, esclamò soffermandosi:",羣集は胸壁に凭れて眼の下の往來を瞰込んでゐる。 イッポリイタは變に思つて佇立つた。 と聲が突走つた。,MISSING,凭れて,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
3,one-to-one,dn_2,isk_4,Ella ebbe un piccolo moto di timore; e appoggiò involontariamente la mano sul braccio di Giorgio come per trattenerlo.,氣遣はし氣な態度を一寸見せてジォルジオを引留めるといふ風に我知ず男の腕に手を懸けた。,Giorgio,男,Giorgio,Giorgio,PROPN,NOUN,nmod,nmod,explicit_ref_case,
3,one-to-one,dn_2,isk_4,Ella ebbe un piccolo moto di timore; e appoggiò involontariamente la mano sul braccio di Giorgio come per trattenerlo.,氣遣はし氣な態度を一寸見せてジォルジオを引留めるといふ風に我知ず男の腕に手を懸けた。,lo,ジォルジオ,Giorgio,Giorgio,PRON,PROPN,obj,obj,explicit_ref_case,
3,one-to-one,dn_2,isk_4,Ella ebbe un piccolo moto di timore; e appoggiò involontariamente la mano sul braccio di Giorgio come per trattenerlo.,氣遣はし氣な態度を一寸見せてジォルジオを引留めるといふ風に我知ず男の腕に手を懸けた。,appoggiò,懸けた,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.2872139501345552
3,one-to-one,dn_2,isk_4,Ella ebbe un piccolo moto di timore; e appoggiò involontariamente la mano sul braccio di Giorgio come per trattenerlo.,氣遣はし氣な態度を一寸見せてジォルジオを引留めるといふ風に我知ず男の腕に手を懸けた。,Ella,見せて,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
4,one-to-many,dn_3,isk_5 isk_7,"Giorgio disse, osservando i gesti di quegli uomini:",ジォルジオは羣集の動靜を見廻してから、 言つて又,Giorgio,ジォルジオ,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
4,one-to-many,dn_3,isk_5 isk_7,"Giorgio disse, osservando i gesti di quegli uomini:",ジォルジオは羣集の動靜を見廻してから、 言つて又,MISSING,言つて,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
